algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,0.5833967361195385,1.7121336620104082,1.71129363449692,1.7276114254174142,1.7121336620104082,1.7121336620104082
READ_ATOMIC_STAMP,1000,0.95,1,32,5,5,1000000,zipfian,0.99,0.45008505451456327,2.22741457949908,2.2221157684630737,2.33428093645485,2.22741457949908,2.22741457949908
READ_ATOMIC_STAMP,1000,0.95,1,64,5,5,1000000,zipfian,0.99,0.30957495381387495,3.2229764804536196,3.2075599189156963,3.5476847592762955,3.2229764804536196,3.2229764804536196
READ_ATOMIC_STAMP,1000,0.95,1,128,5,5,1000000,zipfian,0.99,0.2913603216142253,3.4118201823325993,3.381903925678355,4.099411075905772,3.4118201823325993,3.4118201823325993
READ_ATOMIC_STAMP,1000,0.95,1,256,5,5,1000000,zipfian,0.99,0.15512036888102515,5.983133585996418,5.935940106169887,7.086010944296338,5.983133585996418,5.983133585996418
