algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_STAMP,100,0.95,1,16,5,5,1000000,zipfian,0.99,0.8261914891892768,1.2116564417177915,1.2104187946884577,1.225672877846791,0.6874347372084929,1.4115413819286258
READ_ATOMIC_STAMP,250,0.95,1,16,5,5,1000000,zipfian,0.99,0.7120074206722758,1.4059454191033138,1.405747686312713,1.4045876037091265,1.4059454191033138,1.5245901639344261
READ_ATOMIC_STAMP,500,0.95,1,16,5,5,1000000,zipfian,0.99,0.647656106345504,1.5453583708013752,1.5445413692836374,1.5636023516835915,1.5453583708013752,0.9236484350300348
READ_ATOMIC_STAMP,750,0.95,1,16,5,5,1000000,zipfian,0.99,0.5931537057964025,1.6882591093117407,1.6877644894204231,1.7006840451100016,1.6882591093117407,0.9502796768178992
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,0.5793432667372292,1.7276673200784094,1.72742545149097,1.7333895210001407,1.7276673200784094,1.7276673200784094
