algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,1.742060653566657,0.574681902909474,0.5746697998541448,0.5739822865036158,0.574681902909474,0.574681902909474
READ_ATOMIC_FASTOPW,1000,0.95,1,16,10,10,1000000,zipfian,0.99,1.6574796822157154,0.6032937910146391,0.6034580677730801,0.5987281198841456,0.6032937910146391,0.6032937910146391
READ_ATOMIC_FASTOPW,1000,0.95,1,16,15,15,1000000,zipfian,0.99,1.605671865369161,0.622359608449253,0.6225237604488721,0.6193736094472018,0.622359608449253,0.622359608449253
READ_ATOMIC_FASTOPW,1000,0.95,1,16,20,20,1000000,zipfian,0.99,1.5659882999988304,0.638073896503205,0.6382069324993485,0.6351175951404392,0.638073896503205,0.638073896503205
READ_ATOMIC_FASTOPW,1000,0.95,1,16,25,25,1000000,zipfian,0.99,1.608666170866031,0.6216924910607867,0.6218884120171674,0.6185229161719306,0.6216924910607867,0.6216924910607867
