iteration,algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
0,READ_ATOMIC_NOC,1000,0.95,1,16,5,5,1000000,0,4902.051017724122,61.657598519595446,56.68341934193366,155.88244354433382,61.657598519595446,91.40383959084745
0,READ_ATOMIC_NOC,1000,0.95,1,16,10,10,1000000,0,6904.929704331018,87.53965012407198,79.53019189355383,239.7741922881633,87.53965012407198,87.53965012407198
0,READ_ATOMIC_NOC,1000,0.95,1,16,15,15,1000000,0,8692.47283220136,104.37057793955715,93.79645561956639,305.7334485627795,104.37057793955715,104.37057793955715
0,READ_ATOMIC_NOC,1000,0.95,1,16,20,20,1000000,0,10044.488279723113,120.57963917136695,106.73798338252075,383.1829439203196,120.57963917136695,120.57963917136695
0,READ_ATOMIC_NOC,1000,0.95,1,16,25,25,1000000,0,10857.183193708077,139.41254196886734,121.98852654613496,470.5783624054235,139.41254196886734,139.41254196886734
