algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,1.1750096811269675,0.8535146846413095,0.8914027149321266,0.471908611129668,0.8535146846413095,0.8535146846413095
READ_ATOMIC_FASTOPW,1000,0.95,1,16,10,10,1000000,zipfian,0.99,1.040653283270144,0.9618712273641851,1.00430581810544,0.5319125132852268,0.9618712273641851,0.9618712273641851
READ_ATOMIC_FASTOPW,1000,0.95,1,16,15,15,1000000,zipfian,0.99,1.0146555511272457,0.9854074141212725,1.0274995274995276,0.5538155478473781,0.9854074141212725,0.9854074141212725
READ_ATOMIC_FASTOPW,1000,0.95,1,16,20,20,1000000,zipfian,0.99,0.9865328363664,1.0138279374016725,1.0565191129519371,0.5735921601725512,1.0138279374016725,1.0138279374016725
READ_ATOMIC_FASTOPW,1000,0.95,1,16,25,25,1000000,zipfian,0.99,0.9891098527504835,1.0115584516329224,1.0540737148399613,0.5728172421376732,1.0115584516329224,1.0115584516329224
