algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,1.1652713182025296,0.8585700529610014,0.8925339366515838,0.5172690226468034,0.8585700529610014,0.8585700529610014
READ_ATOMIC_LORA,1000,0.95,1,16,10,10,1000000,zipfian,0.99,1.0402488333749749,0.9620724346076458,0.9926486032346146,0.6522347149969233,0.9620724346076458,0.9620724346076458
READ_ATOMIC_LORA,1000,0.95,1,16,15,15,1000000,zipfian,0.99,1.046570180207371,0.8935919514184719,0.9168399168399168,0.6550193837992246,0.8935919514184719,0.8935919514184719
READ_ATOMIC_LORA,1000,0.95,1,16,20,20,1000000,zipfian,0.99,1.034158723149083,0.9668791918522812,0.9868841142462681,0.7618511745674497,0.9668791918522812,0.9668791918522812
READ_ATOMIC_LORA,1000,0.95,1,16,25,25,1000000,zipfian,0.99,1.0148049133814614,0.985338608331394,1.004364694471387,0.7893996041345942,0.985338608331394,0.985338608331394
