algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,0.9917120998398093,1.005923000987167,1.001269035532995,1.0961211778029445,1.005923000987167,1.005923000987167
READ_ATOMIC_LORA,1000,0.95,1,16,10,10,1000000,zipfian,0.99,0.999611350003242,1.000209183139839,0.9883927637770574,1.2262067514985802,1.000209183139839,1.000209183139839
READ_ATOMIC_LORA,1000,0.95,1,16,15,15,1000000,zipfian,0.99,1.0314536583815754,0.9068248712288448,0.8923020325577117,1.1827392465690338,0.9068248712288448,0.9068248712288448
READ_ATOMIC_LORA,1000,0.95,1,16,20,20,1000000,zipfian,0.99,1.048276027950675,0.9536916040509638,0.9340901666122183,1.3282105779449032,0.9536916040509638,0.9536916040509638
READ_ATOMIC_LORA,1000,0.95,1,16,25,25,1000000,zipfian,0.99,1.0259779644895115,0.9740797546012269,0.9528410397975616,1.3781002841127237,0.9740797546012269,0.9740797546012269
