algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,1.0,1.0,1.0,1.0,1.0,1.0
READ_ATOMIC_LORA,1000,0.95,1,16,10,10,1000000,zipfian,0.99,1.0,1.0,1.0,1.0,1.0,1.0
READ_ATOMIC_LORA,1000,0.95,1,16,15,15,1000000,zipfian,0.99,1.0,1.0,1.0,1.0,1.0,1.0
READ_ATOMIC_LORA,1000,0.95,1,16,20,20,1000000,zipfian,0.99,1.0,1.0,1.0,1.0,1.0,1.0
READ_ATOMIC_LORA,1000,0.95,1,16,25,25,1000000,zipfian,0.99,1.0,1.0,1.0,1.0,1.0,1.0
